taxid,spore_former
1358,lost 
1379,lost 
1421,spore-former
1426,spore-former
1476,spore-former
1482,spore-former
1505,spore-former
1511,lost 
1522,spore-former
1650,lost 
2756,lost 
33025,lost 
33033,lost 
33936,spore-former
37482,spore-former
51173,spore-former
51515,spore-former
53442,lost 
54005,lost 
84032,spore-former
114527,lost 
138119,spore-former
158847,lost 
158879,lost 
160490,lost 
169963,lost 
170187,lost 
176280,lost 
178899,lost 
195103,spore-former
198094,spore-former
203119,spore-former
203123,lost 
208435,lost 
212717,spore-former
221109,spore-former
224308,spore-former
226185,lost 
226900,spore-former
235909,spore-former
236753,lost 
241244,spore-former
246194,spore-former
264732,spore-former
269673,spore-former
272558,spore-former
272562,spore-former
272563,spore-former
272621,lost 
272626,lost 
273068,lost 
279010,spore-former
279808,lost 
292459,lost 
292800,lost 
293826,spore-former
334413,lost 
335541,lost 
351627,lost 
357809,spore-former
358681,spore-former
370438,spore-former
373903,lost 
386490,spore-former
394503,spore-former
407035,lost 
411483,lost 
413999,spore-former
429009,lost 
445974,spore-former
457570,lost 
458233,lost 
477974,spore-former
479436,lost 
485916,spore-former
491915,spore-former
498761,spore-former
515619,lost 
515622,lost 
525919,lost 
537007,lost 
546269,lost 
555079,lost 
557436,lost 
562970,spore-former
568703,lost 
568816,lost 
574087,lost 
580331,spore-former
585394,lost 
617123,lost 
626937,lost 
633807,lost 
635013,Unknown
642492,spore-former
643648,lost 
644966,lost 
645991,spore-former
649756,lost 
650150,lost 
656519,lost 
663278,lost 
693746,lost 
696281,spore-former
697281,spore-former
697329,lost 
698758,spore-former
698948,spore-former
699246,lost 
701521,lost 
708126,lost 
717605,spore-former
747365,lost 
748449,lost 
760568,spore-former
762051,lost 
767817,spore-former
768706,spore-former
866775,lost 
866895,spore-former
886882,spore-former
927704,lost 
931626,lost 
945021,lost 
991789,spore-former
1002809,spore-former
1029718,spore-former
1045854,lost 
1048834,spore-former
1051074,lost 
1051632,spore-former
1064535,lost 
1089553,spore-former
1121335,spore-former
1128398,spore-former
1131462,lost 
1185653,lost 
1192197,spore-former
1198676,lost 
1209989,spore-former
1221500,spore-former
1230341,lost 
1234679,lost 
1279365,spore-former
1284663,lost 
1286171,lost 
1297617,spore-former
1323375,lost 
1385937,lost 
1399115,lost 
1424294,lost 
1471761,lost 
1472767,lost 
1500254,spore-former
1508404,spore-former
1555112,spore-former
1582259,lost 
1679721,lost 
1702221,lost 
1702287,lost 
1712675,lost 
1849491,lost 
1852373,lost 
1852374,lost 
1903704,spore-former
1911586,lost 
1930071,spore-former
2036206,lost 
2086584,lost 
2161821,lost 
2213194,spore-former
2320858,spore-former
2382161,lost 
2487118,lost 
2507160,lost 
2507161,spore-former
2507162,Unknown
2583452,lost 
2674991,spore-former
562,lost 